CASEID,FULLTIME_OR_PARTTIME,SELFEMPLOYED,OCCUPATION_COL,WORKTYPE_FINAL,SCIENCE_CLASSES,MATH_CLASSES,TALENT,PROVE,RESPECTA,RESPECTB,INTEREST1,STEMJOBA,STEMJOBB,REASON1A,REASON1B,REASON1C,REASON1D,REASON1E,REASON1F,REASON1G,TECH1,TECH2,TECH3,TECH4,TECH5,TECH6,GEND1,GEND2,GEND3,GEND4,GEND5,HARASS1,HARASS2,HARASS3,GENDER,STEM_DEGREE,EDUCATION,INCOME_AVERAGE,START_AGE,END_AGE,EMPLOYED,UN_EMPLOYED
57,1,2,15,2,1,1,2,3,2,1,2,3,2,3,1,3,3,2,2,1,2,3,3,1,3,3,1,1,1,3,4,3,2,2,2,2,3,100000.0,25,34,1,0
58,1,2,1,1,1,1,2,2,3,1,4,1,3,1,2,2,1,2,3,2,1,3,1,3,3,2,1,1,1,3,2,3,1,2,2,1,3,87499.5,35,44,1,0
59,1,2,4,2,0,0,1,3,1,1,3,1,3,1,2,3,2,2,2,3,3,3,2,3,2,2,3,1,1,3,1,3,3,2,1,1,2,62499.5,55,64,1,0
60,1,2,14,2,1,1,2,2,2,2,3,2,1,2,3,2,3,2,2,2,2,2,2,2,2,2,1,2,3,3,4,3,3,2,2,2,3,100000.0,25,34,1,0
61,2,2,3,2,1,0,2,2,1,1,2,1,1,3,1,2,2,1,3,1,2,3,2,3,3,1,2,1,1,3,3,3,3,2,1,1,2,100000.0,65,74,1,0
63,1,2,12,1,1,1,2,2,1,2,4,1,3,1,2,3,2,2,3,1,2,1,2,2,1,2,2,1,1,3,1,3,2,2,1,1,4,100000.0,45,54,1,0
64,1,2,13,1,1,1,2,2,1,2,4,3,3,3,3,3,2,3,2,3,2,3,1,2,3,2,1,1,1,3,3,3,2,2,2,1,3,62499.5,55,64,1,0
65,2,2,20,2,1,1,2,2,1,1,4,1,1,3,3,2,2,2,3,1,3,3,3,3,3,3,1,1,1,3,2,3,2,1,1,1,2,87499.5,55,64,1,0
66,1,2,10,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,1,3,2,2,2,2,2,39999.5,45,54,1,0
69,1,2,19,2,1,0,1,2,1,3,2,1,1,1,1,1,1,1,2,3,3,1,2,3,3,3,1,3,3,2,1,3,3,2,1,1,2,39999.5,55,64,1,0
70,2,1,25,2,1,0,1,2,1,2,3,1,1,2,2,3,3,2,2,2,3,3,3,3,3,3,3,1,1,3,4,3,3,2,1,2,3,100000.0,45,54,1,0
71,2,2,12,1,1,0,3,2,0,1,4,2,2,3,3,2,3,1,3,1,1,3,3,1,3,3,2,1,3,2,4,2,2,1,1,1,3,100000.0,55,64,1,0
72,1,2,12,1,0,1,2,1,0,1,4,1,1,1,1,2,1,2,3,2,1,1,1,2,3,1,3,1,2,3,1,1,1,1,1,1,4,62499.5,25,34,1,0
73,2,1,1,1,1,1,2,3,0,0,4,1,2,2,3,2,1,3,1,2,2,3,2,3,3,2,1,1,1,3,3,3,3,2,2,1,1,30000.0,55,64,1,0
74,1,1,10,2,1,1,1,2,1,2,3,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,1,1,3,1,1,3,2,2,2,4,100000.0,65,74,1,0
75,1,2,5,1,1,1,2,2,2,2,4,1,3,1,1,1,2,2,2,1,2,2,2,2,3,1,1,1,1,2,3,3,2,2,2,1,3,87499.5,35,44,1,0
77,1,2,23,2,1,1,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,3,3,2,2,2,2,100000.0,55,64,1,0
78,1,2,3,2,0,0,2,3,2,1,4,1,1,1,3,2,2,3,3,2,3,3,2,3,3,2,2,1,1,3,3,3,3,2,2,2,3,87499.5,45,54,1,0
79,1,2,3,2,1,0,2,3,2,1,4,1,2,3,3,1,3,2,2,2,3,3,3,3,3,3,1,1,1,3,2,3,3,2,2,2,4,100000.0,35,44,1,0
80,1,2,12,1,1,1,2,3,1,1,4,1,1,3,3,3,3,3,3,3,3,2,3,3,3,3,2,1,1,3,4,3,3,2,1,1,3,87499.5,55,64,1,0
81,1,2,22,2,1,1,2,2,1,2,3,1,1,3,2,3,3,2,2,3,3,3,3,3,3,3,1,1,1,1,3,3,3,2,2,1,1,87499.5,45,54,1,0
82,2,1,1,1,1,0,2,2,1,2,4,1,2,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,1,3,2,1,3,1,1,1,2,30000.0,25,34,1,0
84,1,2,1,1,1,0,2,2,2,2,4,1,1,3,3,3,3,3,1,2,3,3,3,3,3,3,2,1,1,3,3,3,3,2,2,1,4,100000.0,25,34,1,0
85,2,2,2,1,1,0,2,3,1,1,4,3,3,1,3,1,1,1,2,3,2,3,1,3,3,1,3,2,2,3,2,3,2,2,1,1,4,100000.0,55,64,1,0
86,1,1,25,2,0,0,2,3,2,2,4,1,1,1,1,2,1,2,3,1,2,1,1,3,1,1,3,3,3,3,2,3,2,2,1,2,3,39999.5,55,64,1,0
88,1,2,3,2,1,1,2,1,3,0,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,4,3,3,2,2,2,2,100000.0,45,54,1,0
89,2,1,1,1,1,0,4,1,1,3,4,1,2,1,2,1,1,2,3,2,1,1,3,1,1,1,3,2,2,2,5,1,1,2,2,1,2,30000.0,65,74,1,0
91,1,2,4,2,0,1,2,3,1,1,2,1,1,1,1,2,1,1,2,2,1,1,1,3,3,2,2,1,1,3,1,3,2,1,1,2,2,100000.0,55,64,1,0
92,1,2,1,1,1,1,1,0,1,1,4,3,1,2,3,3,3,3,1,3,3,3,3,3,3,3,1,1,1,1,1,3,3,2,2,1,2,87499.5,45,54,1,0
93,1,2,5,1,0,1,3,2,1,1,4,1,1,2,3,2,2,1,3,3,3,3,2,3,3,2,1,1,1,3,3,2,3,2,2,1,2,100000.0,45,54,1,0
95,1,2,4,2,1,1,2,1,2,2,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,2,2,2,3,3,2,2,2,4,62499.5,55,64,1,0
96,1,2,25,2,0,0,2,2,1,1,3,1,1,1,1,2,3,3,3,2,3,3,3,3,3,3,2,1,1,3,2,3,3,2,1,2,3,100000.0,65,74,1,0
97,0,0,26,3,1,1,2,2,1,2,4,1,1,2,3,2,3,2,2,2,3,3,2,3,3,2,2,1,1,3,3,3,3,2,1,1,1,62499.5,45,54,0,-1
100,1,2,8,2,0,0,1,2,2,2,4,1,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,1,2,3,3,3,3,2,1,2,4,100000.0,55,64,1,0
101,2,1,16,2,1,1,2,2,1,2,2,1,3,1,3,2,2,1,2,1,2,3,2,2,1,1,2,1,1,3,2,2,2,2,1,1,3,30000.0,35,44,1,0
102,2,1,1,1,1,1,1,2,1,2,4,1,3,1,2,1,1,2,2,2,2,3,2,3,3,2,1,1,1,3,2,3,2,2,2,1,3,100000.0,65,74,1,0
103,1,2,9,1,1,1,2,3,2,2,4,1,3,1,2,1,1,2,2,1,2,3,1,2,3,1,3,1,2,3,1,2,2,1,2,1,4,100000.0,55,64,1,0
105,1,2,12,1,0,0,2,1,2,2,4,1,1,3,3,3,2,2,3,2,2,3,1,2,3,1,2,1,1,3,2,1,1,2,1,1,3,100000.0,55,64,1,0
106,1,1,1,1,1,1,2,2,1,2,4,1,1,1,3,1,1,2,3,2,1,1,1,1,3,1,1,2,3,2,3,3,1,2,2,1,4,62499.5,55,64,1,0
109,1,2,10,2,1,0,3,3,1,1,2,1,1,1,2,1,1,3,3,2,2,3,1,2,3,1,1,1,2,2,1,2,3,2,2,1,2,62499.5,45,54,1,0
110,1,1,1,1,1,1,2,2,1,2,4,1,2,3,3,3,3,3,1,2,1,2,3,1,2,3,3,1,1,3,5,3,3,2,2,1,3,62499.5,45,54,1,0
111,1,2,12,1,0,0,2,2,1,3,4,1,1,3,3,3,3,3,3,2,3,3,3,3,3,3,2,1,1,3,5,3,3,2,1,1,2,87499.5,55,64,1,0
113,1,2,2,1,1,0,2,1,3,3,4,3,2,3,3,3,3,3,3,1,2,3,2,3,3,2,2,1,1,2,2,2,3,2,1,1,4,30000.0,25,34,1,0
114,1,2,16,2,1,1,2,1,2,1,4,1,1,1,1,1,1,2,3,1,3,2,2,2,1,1,1,1,1,3,3,3,3,2,2,1,1,87499.5,45,54,1,0
115,1,2,23,2,0,1,3,2,2,2,3,1,1,1,2,1,1,2,1,1,2,3,1,1,1,1,3,2,2,2,1,2,2,2,2,1,1,87499.5,45,54,1,0
116,2,2,17,2,0,0,1,0,1,1,3,1,3,1,2,2,1,1,3,1,3,3,1,2,3,2,3,1,1,3,1,3,3,2,1,1,2,30000.0,45,54,1,0
117,2,2,12,1,1,1,1,1,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,3,3,2,2,2,1,1,3,62499.5,55,64,1,0
119,1,2,3,2,1,0,4,3,1,1,1,1,1,1,1,1,2,3,2,2,3,1,1,3,3,2,1,1,1,2,2,3,3,2,2,2,3,100000.0,35,44,1,0
120,2,2,20,2,0,1,1,2,2,2,3,1,1,3,2,1,1,2,1,2,2,3,2,2,3,3,2,1,1,3,2,3,3,2,1,1,2,100000.0,18,24,1,0
121,1,1,25,2,1,1,2,0,1,1,1,3,3,2,2,2,2,2,3,2,2,3,2,2,3,2,3,1,1,3,3,3,3,2,2,1,3,100000.0,35,44,1,0
122,1,2,10,2,1,1,1,1,0,3,1,2,2,3,2,3,3,3,1,3,3,3,3,3,2,2,2,1,1,3,5,3,3,1,2,1,2,62499.5,55,64,1,0
124,1,2,13,1,1,0,3,2,2,2,4,1,3,1,2,2,1,1,3,1,1,3,1,1,3,1,3,1,1,3,1,3,3,1,2,1,1,100000.0,45,54,1,0
125,1,2,1,1,1,1,2,1,2,2,4,1,2,1,1,1,2,2,3,3,2,1,1,2,3,2,1,2,2,3,3,3,3,2,1,1,3,100000.0,45,54,1,0
126,1,2,9,1,1,1,2,2,1,1,4,1,3,2,2,1,1,2,3,1,1,1,1,2,1,1,1,1,1,3,1,3,2,2,1,1,4,100000.0,35,44,1,0
127,1,2,25,2,1,1,1,2,1,1,2,2,1,2,2,3,1,2,2,1,2,2,2,3,2,2,1,2,2,1,3,3,3,2,2,1,1,62499.5,45,54,1,0
130,1,2,25,2,1,1,2,1,2,2,4,3,3,3,3,3,3,3,2,3,3,3,3,3,1,2,3,1,2,3,4,3,2,2,1,1,1,87499.5,45,54,1,0
132,1,2,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,2,2,3,2,2,3,1,1,2,2,1,1,2,1,2,3,39999.5,35,44,1,0
134,0,0,26,3,1,1,2,2,1,2,4,1,3,2,3,2,3,3,3,2,3,3,2,3,3,2,2,1,1,3,2,3,3,2,1,1,1,100000.0,65,74,0,-1
136,1,2,3,2,1,0,1,1,2,0,4,1,2,1,3,3,2,1,3,1,3,3,3,3,3,3,1,1,1,3,5,2,3,1,1,1,2,62499.5,35,44,1,0
137,1,2,1,1,0,0,1,1,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,1,2,2,2,3,87499.5,25,34,1,0
138,1,1,22,2,1,0,1,0,2,3,6,1,1,3,3,3,1,3,2,1,1,1,1,2,3,1,1,2,3,2,2,3,1,1,1,1,1,39999.5,35,44,1,0
139,1,2,13,1,1,1,2,2,2,2,4,1,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,1,3,3,2,2,1,1,1,2,100000.0,55,64,1,0
140,1,2,25,2,1,0,2,3,1,1,6,1,1,1,1,2,1,2,3,1,2,3,1,3,3,1,3,1,1,3,1,3,2,2,1,1,2,100000.0,45,54,1,0
141,2,2,20,2,1,1,1,2,1,1,6,1,3,2,3,3,2,2,3,2,2,3,2,2,2,2,2,1,1,3,3,2,3,2,1,1,1,30000.0,35,44,1,0
143,1,2,23,2,1,1,1,1,3,5,4,1,1,3,2,3,3,2,3,2,3,3,3,3,3,3,1,1,1,3,2,1,1,2,1,1,1,62499.5,55,64,1,0
145,1,2,12,1,1,0,2,1,1,1,4,1,1,3,1,3,3,2,1,3,3,3,3,3,3,3,3,1,1,3,5,3,3,2,2,1,4,100000.0,35,44,1,0
146,2,2,8,2,1,1,1,0,2,1,4,1,3,3,3,3,3,1,3,2,3,3,3,3,3,3,2,1,1,2,1,2,3,2,1,2,3,100000.0,45,54,1,0
147,0,0,26,3,0,1,2,2,1,2,4,1,2,3,3,2,1,2,3,2,3,3,2,3,3,2,2,1,1,3,2,3,3,2,1,1,1,100000.0,55,64,0,-1
149,1,2,3,2,1,1,1,2,2,2,1,2,2,3,3,1,3,2,3,2,3,3,2,2,2,2,1,1,1,1,2,2,2,2,2,1,3,100000.0,45,54,1,0
150,1,2,12,1,1,1,4,1,0,2,4,2,2,1,3,2,1,3,3,3,1,3,1,3,3,2,1,2,3,2,2,2,2,2,1,1,4,62499.5,35,44,1,0
152,1,2,11,1,1,0,2,2,2,1,4,1,3,1,1,1,1,2,3,2,2,3,1,3,1,2,3,2,2,2,2,3,3,2,1,1,4,100000.0,35,44,1,0
153,1,2,25,2,1,1,1,3,1,1,1,1,1,1,2,3,1,1,3,3,2,3,1,2,3,2,3,1,1,3,3,3,3,2,2,1,2,30000.0,55,64,1,0
155,1,2,1,1,1,1,1,3,1,2,4,1,1,1,1,2,3,3,2,2,1,3,2,3,2,2,1,1,1,3,1,3,2,2,2,1,4,100000.0,35,44,1,0
156,1,2,5,1,1,1,2,2,1,1,4,1,1,2,1,1,2,1,3,2,1,3,2,2,3,2,1,1,1,3,2,3,2,2,2,1,3,100000.0,55,64,1,0
157,2,2,12,1,1,0,1,3,1,2,4,1,1,1,3,1,3,1,3,2,3,3,2,3,3,2,2,1,1,3,3,3,3,2,1,1,2,100000.0,25,34,1,0
159,1,2,22,2,1,0,1,0,3,3,2,1,1,2,3,3,2,2,2,3,2,3,2,2,3,3,1,1,1,3,2,3,3,2,2,2,2,62499.5,55,64,1,0
161,2,2,19,2,0,0,4,0,0,0,4,3,2,3,3,3,3,3,3,3,2,2,2,3,2,2,1,3,3,3,4,3,3,2,1,1,2,30000.0,25,34,1,0
164,2,2,8,2,0,1,1,3,1,1,4,1,3,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,2,2,2,2,2,1,2,4,62499.5,55,64,1,0
165,2,1,5,1,1,1,1,2,1,2,4,1,1,2,3,2,2,2,3,3,2,3,2,2,3,3,1,1,1,1,5,3,3,2,2,1,3,100000.0,55,64,1,0
166,1,2,19,2,1,0,3,2,3,3,2,3,3,3,1,1,3,3,3,2,3,3,2,3,3,3,1,3,1,3,3,3,2,1,2,1,2,62499.5,25,34,1,0
167,1,2,22,2,1,1,2,1,3,1,2,1,1,2,1,1,1,2,3,1,2,1,1,3,3,2,1,2,2,2,3,2,3,1,2,1,2,87499.5,45,54,1,0
171,2,2,20,2,1,0,3,0,3,3,4,3,3,3,2,2,2,2,2,2,3,3,2,3,3,2,3,1,1,3,4,3,3,2,2,1,1,30000.0,35,44,1,0
172,1,2,3,2,1,0,1,1,3,1,4,1,1,2,1,1,3,1,2,2,2,1,1,2,1,1,2,1,1,2,1,3,3,2,1,1,1,62499.5,18,24,1,0
173,1,2,23,2,1,1,4,3,3,2,2,1,1,3,3,2,2,3,3,2,3,3,2,3,3,2,1,1,1,3,3,3,3,2,2,2,2,100000.0,45,54,1,0
174,1,2,25,2,1,1,3,0,2,2,1,1,1,3,3,3,2,2,3,1,3,3,2,3,3,2,3,1,1,3,2,2,2,2,2,1,1,39999.5,25,34,1,0
175,1,2,11,1,1,1,2,3,2,2,4,1,1,2,1,2,2,2,3,2,2,1,1,2,1,1,3,2,1,3,1,3,3,2,1,1,4,87499.5,25,34,1,0
177,2,2,12,1,1,1,1,3,1,1,4,2,3,2,2,2,2,2,3,3,2,3,2,2,1,2,2,1,1,3,2,3,3,2,1,1,3,62499.5,65,74,1,0
179,1,2,10,2,1,1,2,2,1,1,2,3,3,2,3,3,2,1,3,1,3,3,3,3,3,3,2,1,1,3,3,3,3,2,2,1,4,100000.0,35,44,1,0
181,1,2,2,1,1,1,1,3,1,2,4,3,3,1,2,2,2,1,1,1,3,3,3,3,1,2,1,1,1,3,3,3,3,2,2,1,3,39999.5,25,34,1,0
183,1,2,14,2,1,0,2,1,2,3,6,1,1,3,1,3,1,1,2,1,1,3,1,1,1,1,2,1,1,3,2,2,1,1,1,1,2,39999.5,55,64,1,0
184,1,2,5,1,1,1,1,2,2,2,4,1,1,1,2,2,2,1,3,1,1,2,2,2,2,2,1,2,2,1,3,3,2,2,2,1,3,100000.0,35,44,1,0
185,1,2,22,2,1,0,2,3,3,2,4,2,1,2,3,2,1,3,2,1,2,2,2,2,2,2,3,3,2,2,3,3,3,2,2,1,2,87499.5,25,34,1,0
187,1,2,5,1,1,0,1,2,2,1,4,1,3,3,3,1,3,2,1,3,3,3,3,3,3,3,1,1,1,3,4,3,3,2,2,1,2,100000.0,35,44,1,0
189,1,2,19,2,0,1,2,1,1,1,3,1,3,3,2,1,1,2,2,2,3,3,1,2,3,1,2,1,1,3,1,3,3,2,2,2,3,100000.0,55,64,1,0
191,0,0,26,3,0,1,2,2,1,2,4,1,1,3,3,3,3,3,2,3,3,3,3,3,3,3,2,1,1,3,3,3,3,2,2,1,1,100000.0,65,74,0,-1
192,2,2,14,2,1,0,2,0,2,2,3,1,1,1,2,3,1,2,3,2,1,1,1,3,1,2,2,1,1,3,2,3,3,2,2,1,2,87499.5,18,24,1,0
193,1,2,1,1,0,1,1,2,1,1,4,1,1,2,1,2,3,2,1,2,2,3,3,2,3,3,1,1,1,1,3,2,2,2,2,1,3,100000.0,25,34,1,0
194,1,2,1,1,0,1,1,1,3,1,4,1,3,1,1,1,2,1,3,3,2,3,2,3,3,2,1,1,1,3,1,3,3,1,2,1,3,100000.0,55,64,1,0
195,2,1,22,2,1,1,2,2,1,2,1,1,1,1,1,2,2,1,3,1,2,3,2,3,3,3,3,1,1,3,4,3,3,2,2,2,3,39999.5,65,74,1,0
196,2,2,13,1,1,1,2,0,1,1,4,2,3,1,3,3,3,3,3,2,3,3,3,3,3,3,2,1,1,3,4,3,3,2,1,1,3,100000.0,55,64,1,0
198,2,1,18,2,0,1,4,2,1,2,2,1,1,1,2,2,2,2,2,2,2,3,2,2,3,1,2,1,1,3,3,3,2,1,1,1,2,62499.5,35,44,1,0
199,2,2,1,1,1,1,2,3,1,1,4,1,1,2,2,2,2,2,2,1,3,3,3,3,3,2,3,1,1,3,2,3,2,2,2,2,4,87499.5,65,74,1,0
200,1,2,12,1,0,0,2,3,2,2,4,1,3,3,3,2,2,3,3,2,3,3,2,3,3,2,3,1,1,3,2,3,3,2,2,1,2,62499.5,45,54,1,0
201,1,2,16,2,1,0,1,0,0,0,4,1,3,2,3,2,3,3,3,1,3,3,2,2,1,2,1,3,3,3,1,3,3,2,1,1,1,30000.0,18,24,1,0
203,1,2,20,2,1,1,1,3,2,2,3,3,3,1,1,1,1,3,3,2,3,3,1,3,3,2,2,1,1,3,3,3,3,1,1,1,2,62499.5,55,64,1,0
