CASEID,OCCUPATION_COL,WORKTYPE_FINAL,SCIENCE_CLASSES,MATH_CLASSES,TALENT,PROVE,RESPECTA,RESPECTB,INTEREST1,STEMJOBA,STEMJOBB,REASON1A,REASON1B,REASON1C,REASON1D,REASON1E,REASON1F,REASON1G,TECH1,TECH2,TECH3,GEND1,GEND2,GEND3,GEND4,GEND5,HARASS1,HARASS2,HARASS3,GENDER,STEM_DEGREE,EDUCATION,INCOME_AVERAGE,AGE-1_CATEGORY,AGE-2_CATEGORY,EMPLOYED
120,20,2,0,1,1,2,2,2,3,1,1,3,2,1,1,2,1,2,2,3,2,2,1,1,3,2,3,3,2,1,1,2,100000.0,18,24,1
121,25,2,1,1,2,0,1,1,1,3,3,2,2,2,2,2,3,2,2,3,2,3,1,1,3,3,3,3,2,2,1,3,100000.0,35,44,1
122,10,2,1,1,1,1,0,3,1,2,2,3,2,3,3,3,1,3,3,3,3,2,1,1,3,5,3,3,1,2,1,2,62499.5,55,64,1
124,13,1,1,0,3,2,2,2,4,1,3,1,2,2,1,1,3,1,1,3,1,3,1,1,3,1,3,3,1,2,1,1,100000.0,45,54,1
125,1,1,1,1,2,1,2,2,4,1,2,1,1,1,2,2,3,3,2,1,1,1,2,2,3,3,3,3,2,1,1,3,100000.0,45,54,1
126,9,1,1,1,2,2,1,1,4,1,3,2,2,1,1,2,3,1,1,1,1,1,1,1,3,1,3,2,2,1,1,4,100000.0,35,44,1
127,25,2,1,1,1,2,1,1,2,2,1,2,2,3,1,2,2,1,2,2,2,1,2,2,1,3,3,3,2,2,1,1,62499.5,45,54,1
130,25,2,1,1,2,1,2,2,4,3,3,3,3,3,3,3,2,3,3,3,3,3,1,2,3,4,3,2,2,1,1,1,87499.5,45,54,1
132,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,2,2,3,1,1,2,2,1,1,2,1,2,3,39999.5,35,44,1
134,26,3,1,1,2,2,1,2,4,1,3,2,3,2,3,3,3,2,3,3,2,2,1,1,3,2,3,3,2,1,1,1,100000.0,65,74,0
136,3,2,1,0,1,1,2,0,4,1,2,1,3,3,2,1,3,1,3,3,3,1,1,1,3,5,2,3,1,1,1,2,62499.5,35,44,1
137,1,1,0,0,1,1,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,1,2,2,2,3,87499.5,25,34,1
138,22,2,1,0,1,0,2,3,6,1,1,3,3,3,1,3,2,1,1,1,1,1,2,3,2,2,3,1,1,1,1,1,39999.5,35,44,1
139,13,1,1,1,2,2,2,2,4,1,3,3,3,3,3,3,3,2,3,3,3,2,3,1,3,3,2,2,1,1,1,2,100000.0,55,64,1
140,25,2,1,0,2,3,1,1,6,1,1,1,1,2,1,2,3,1,2,3,1,3,1,1,3,1,3,2,2,1,1,2,100000.0,45,54,1
141,20,2,1,1,1,2,1,1,6,1,3,2,3,3,2,2,3,2,2,3,2,2,1,1,3,3,2,3,2,1,1,1,30000.0,35,44,1
143,23,2,1,1,1,1,3,5,4,1,1,3,2,3,3,2,3,2,3,3,3,1,1,1,3,2,1,1,2,1,1,1,62499.5,55,64,1
145,12,1,1,0,2,1,1,1,4,1,1,3,1,3,3,2,1,3,3,3,3,3,1,1,3,5,3,3,2,2,1,4,100000.0,35,44,1
146,8,2,1,1,1,0,2,1,4,1,3,3,3,3,3,1,3,2,3,3,3,2,1,1,2,1,2,3,2,1,2,3,100000.0,45,54,1
147,26,3,0,1,2,2,1,2,4,1,2,3,3,2,1,2,3,2,3,3,2,2,1,1,3,2,3,3,2,1,1,1,100000.0,55,64,0
149,3,2,1,1,1,2,2,2,1,2,2,3,3,1,3,2,3,2,3,3,2,1,1,1,1,2,2,2,2,2,1,3,100000.0,45,54,1
150,12,1,1,1,4,1,0,2,4,2,2,1,3,2,1,3,3,3,1,3,1,1,2,3,2,2,2,2,2,1,1,4,62499.5,35,44,1
152,11,1,1,0,2,2,2,1,4,1,3,1,1,1,1,2,3,2,2,3,1,3,2,2,2,2,3,3,2,1,1,4,100000.0,35,44,1
153,25,2,1,1,1,3,1,1,1,1,1,1,2,3,1,1,3,3,2,3,1,3,1,1,3,3,3,3,2,2,1,2,30000.0,55,64,1
155,1,1,1,1,1,3,1,2,4,1,1,1,1,2,3,3,2,2,1,3,2,1,1,1,3,1,3,2,2,2,1,4,100000.0,35,44,1
156,5,1,1,1,2,2,1,1,4,1,1,2,1,1,2,1,3,2,1,3,2,1,1,1,3,2,3,2,2,2,1,3,100000.0,55,64,1
157,12,1,1,0,1,3,1,2,4,1,1,1,3,1,3,1,3,2,3,3,2,2,1,1,3,3,3,3,2,1,1,2,100000.0,25,34,1
159,22,2,1,0,1,0,3,3,2,1,1,2,3,3,2,2,2,3,2,3,2,1,1,1,3,2,3,3,2,2,2,2,62499.5,55,64,1
161,19,2,0,0,4,0,0,0,4,3,2,3,3,3,3,3,3,3,2,2,2,1,3,3,3,4,3,3,2,1,1,2,30000.0,25,34,1
164,8,2,0,1,1,3,1,1,4,1,3,1,1,1,1,1,2,1,2,1,1,2,1,1,2,2,2,2,2,1,2,4,62499.5,55,64,1
165,5,1,1,1,1,2,1,2,4,1,1,2,3,2,2,2,3,3,2,3,2,1,1,1,1,5,3,3,2,2,1,3,100000.0,55,64,1
166,19,2,1,0,3,2,3,3,2,3,3,3,1,1,3,3,3,2,3,3,2,1,3,1,3,3,3,2,1,2,1,2,62499.5,25,34,1
167,22,2,1,1,2,1,3,1,2,1,1,2,1,1,1,2,3,1,2,1,1,1,2,2,2,3,2,3,1,2,1,2,87499.5,45,54,1
171,20,2,1,0,3,0,3,3,4,3,3,3,2,2,2,2,2,2,3,3,2,3,1,1,3,4,3,3,2,2,1,1,30000.0,35,44,1
172,3,2,1,0,1,1,3,1,4,1,1,2,1,1,3,1,2,2,2,1,1,2,1,1,2,1,3,3,2,1,1,1,62499.5,18,24,1
173,23,2,1,1,4,3,3,2,2,1,1,3,3,2,2,3,3,2,3,3,2,1,1,1,3,3,3,3,2,2,2,2,100000.0,45,54,1
174,25,2,1,1,3,0,2,2,1,1,1,3,3,3,2,2,3,1,3,3,2,3,1,1,3,2,2,2,2,2,1,1,39999.5,25,34,1
175,11,1,1,1,2,3,2,2,4,1,1,2,1,2,2,2,3,2,2,1,1,3,2,1,3,1,3,3,2,1,1,4,87499.5,25,34,1
177,12,1,1,1,1,3,1,1,4,2,3,2,2,2,2,2,3,3,2,3,2,2,1,1,3,2,3,3,2,1,1,3,62499.5,65,74,1
179,10,2,1,1,2,2,1,1,2,3,3,2,3,3,2,1,3,1,3,3,3,2,1,1,3,3,3,3,2,2,1,4,100000.0,35,44,1
181,2,1,1,1,1,3,1,2,4,3,3,1,2,2,2,1,1,1,3,3,3,1,1,1,3,3,3,3,2,2,1,3,39999.5,25,34,1
183,14,2,1,0,2,1,2,3,6,1,1,3,1,3,1,1,2,1,1,3,1,2,1,1,3,2,2,1,1,1,1,2,39999.5,55,64,1
184,5,1,1,1,1,2,2,2,4,1,1,1,2,2,2,1,3,1,1,2,2,1,2,2,1,3,3,2,2,2,1,3,100000.0,35,44,1
185,22,2,1,0,2,3,3,2,4,2,1,2,3,2,1,3,2,1,2,2,2,3,3,2,2,3,3,3,2,2,1,2,87499.5,25,34,1
187,5,1,1,0,1,2,2,1,4,1,3,3,3,1,3,2,1,3,3,3,3,1,1,1,3,4,3,3,2,2,1,2,100000.0,35,44,1
189,19,2,0,1,2,1,1,1,3,1,3,3,2,1,1,2,2,2,3,3,1,2,1,1,3,1,3,3,2,2,2,3,100000.0,55,64,1
191,26,3,0,1,2,2,1,2,4,1,1,3,3,3,3,3,2,3,3,3,3,2,1,1,3,3,3,3,2,2,1,1,100000.0,65,74,0
192,14,2,1,0,2,0,2,2,3,1,1,1,2,3,1,2,3,2,1,1,1,2,1,1,3,2,3,3,2,2,1,2,87499.5,18,24,1
193,1,1,0,1,1,2,1,1,4,1,1,2,1,2,3,2,1,2,2,3,3,1,1,1,1,3,2,2,2,2,1,3,100000.0,25,34,1
194,1,1,0,1,1,1,3,1,4,1,3,1,1,1,2,1,3,3,2,3,2,1,1,1,3,1,3,3,1,2,1,3,100000.0,55,64,1
195,22,2,1,1,2,2,1,2,1,1,1,1,1,2,2,1,3,1,2,3,2,3,1,1,3,4,3,3,2,2,2,3,39999.5,65,74,1
196,13,1,1,1,2,0,1,1,4,2,3,1,3,3,3,3,3,2,3,3,3,2,1,1,3,4,3,3,2,1,1,3,100000.0,55,64,1
198,18,2,0,1,4,2,1,2,2,1,1,1,2,2,2,2,2,2,2,3,2,2,1,1,3,3,3,2,1,1,1,2,62499.5,35,44,1
199,1,1,1,1,2,3,1,1,4,1,1,2,2,2,2,2,2,1,3,3,3,3,1,1,3,2,3,2,2,2,2,4,87499.5,65,74,1
200,12,1,0,0,2,3,2,2,4,1,3,3,3,2,2,3,3,2,3,3,2,3,1,1,3,2,3,3,2,2,1,2,62499.5,45,54,1
201,16,2,1,0,1,0,0,0,4,1,3,2,3,2,3,3,3,1,3,3,2,1,3,3,3,1,3,3,2,1,1,1,30000.0,18,24,1
203,20,2,1,1,1,3,2,2,3,3,3,1,1,1,1,3,3,2,3,3,1,2,1,1,3,3,3,3,1,1,1,2,62499.5,55,64,1
205,1,1,1,0,2,2,2,2,4,1,1,1,1,2,2,2,1,3,2,3,2,1,3,3,3,3,2,2,2,2,1,4,100000.0,45,54,1
206,2,1,1,1,2,2,1,2,4,1,1,1,1,2,2,2,3,1,1,1,1,2,1,1,3,1,3,2,2,2,1,4,100000.0,25,34,1
207,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,3,2,2,2,2,1,1,1,3,1,3,2,2,2,1,2,100000.0,35,44,1
208,2,1,1,0,2,1,1,2,4,1,1,1,1,1,1,2,3,1,2,1,2,3,2,3,3,1,3,3,2,2,1,3,39999.5,25,34,1
210,23,2,1,1,3,2,3,3,4,3,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,3,3,3,2,2,1,2,100000.0,55,64,1
211,10,2,1,1,2,1,2,2,2,1,1,1,2,1,1,2,3,3,2,1,1,3,1,1,3,1,3,1,2,1,2,2,100000.0,18,24,1
213,9,1,1,1,2,3,2,2,4,1,1,2,1,2,3,2,1,2,3,3,3,1,1,1,3,4,2,2,2,2,1,4,30000.0,25,34,1
214,5,1,1,0,2,2,2,2,4,1,1,3,3,3,3,1,3,2,3,2,3,3,1,1,3,2,3,3,2,2,1,2,100000.0,45,54,1
215,22,2,1,1,4,0,0,0,2,1,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,5,3,3,2,2,1,1,39999.5,55,64,1
216,4,2,0,1,1,1,1,1,6,1,1,2,1,3,1,1,2,3,2,1,1,3,2,2,3,1,1,2,2,1,2,4,87499.5,35,44,1
217,18,2,0,1,2,0,1,1,4,1,3,2,3,3,1,2,3,2,2,1,2,3,1,1,3,2,3,3,2,1,1,2,62499.5,35,44,1
218,12,1,0,1,1,1,1,1,4,1,3,1,3,3,3,3,3,2,2,3,3,2,1,1,3,5,3,2,2,1,1,2,39999.5,45,54,1
219,10,2,1,1,2,1,1,1,6,3,3,2,2,2,2,2,1,3,2,3,2,3,1,1,3,3,3,3,2,2,1,4,100000.0,55,64,1
220,5,1,1,1,1,2,1,2,4,3,3,1,1,2,1,2,2,1,2,3,2,3,1,1,3,1,3,3,2,2,1,4,39999.5,65,74,1
221,5,1,1,1,3,2,1,1,4,3,3,1,1,2,1,1,3,2,2,3,2,1,1,1,3,2,3,2,2,2,1,4,100000.0,45,54,1
222,1,1,1,1,1,1,2,2,4,1,1,1,3,1,1,3,3,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,87499.5,55,64,1
223,5,1,1,1,1,2,2,2,4,1,1,3,2,2,1,2,3,1,3,1,1,1,1,1,2,1,3,2,2,2,1,3,100000.0,25,34,1
224,1,1,1,1,2,3,3,1,4,3,2,3,3,3,3,1,3,2,2,3,2,1,1,1,1,2,2,2,1,2,1,3,87499.5,55,64,1
226,4,2,1,1,2,2,2,3,2,2,1,2,1,2,2,2,2,1,2,3,2,3,2,2,3,3,2,2,2,2,1,2,100000.0,25,34,1
227,19,2,1,0,2,2,2,2,3,1,3,1,3,3,1,1,3,2,3,3,2,3,1,2,3,3,3,3,2,1,2,3,39999.5,55,64,1
228,12,1,1,1,2,2,1,1,4,1,1,3,3,3,2,3,2,2,2,1,2,2,1,1,3,3,2,2,1,1,1,3,100000.0,55,64,1
230,10,2,1,0,1,2,2,1,6,1,1,2,2,1,2,1,3,3,1,3,2,2,1,2,3,3,3,3,2,1,1,1,62499.5,65,74,1
232,1,1,1,1,3,1,3,3,4,1,1,3,2,3,3,3,2,2,3,3,3,3,1,1,1,5,3,3,2,2,1,3,100000.0,45,54,1
234,3,2,1,1,1,0,1,1,3,3,3,2,3,3,3,3,3,2,3,2,3,1,1,1,3,3,3,2,2,2,1,2,100000.0,55,64,1
